genome_type_enc,taxonomic_family_enc,is_dna,is_enveloped,is_segmented,is_vector_borne,is_zoonotic,infects_humans,host_breadth,rg_label
0,1,1,1,0,0,1,0,3.0,0
6,47,0,1,1,0,0,0,1.0,1
4,5,0,1,0,0,1,0,3.0,0
4,5,0,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,1.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
0,8,1,1,0,0,1,0,3.0,0
4,13,0,1,0,0,0,0,1.0,2
4,13,0,1,0,0,0,0,1.0,0
4,13,0,1,0,0,0,0,1.0,1
4,13,0,1,0,0,0,0,1.0,1
5,29,0,1,0,0,1,0,3.0,1
0,38,1,0,0,0,0,1,1.0,1
0,38,1,0,0,0,0,0,1.0,1
0,38,1,0,0,0,1,0,3.0,1
0,38,1,0,0,0,1,0,3.0,1
0,38,1,0,0,0,1,1,1.0,1
2,40,0,1,0,0,1,0,3.0,0
2,40,0,1,0,0,1,0,3.0,0
3,32,1,0,0,0,0,1,1.0,1
3,32,1,0,0,0,1,0,3.0,1
